Group,Model,Accuracy
Group 1,BP_KNN,0.5833333333333334
Group 1,BP_GB,0.6666666666666666
Group 1,BP_AB,0.4166666666666667
Group 1,BP_RF,0.6666666666666666
Group 1,BP_GNB,0.6666666666666666
Group 1,BP_MNB,0.4166666666666667
Group 1,Glucose_KNN,0.8333333333333334
Group 1,Glucose_RF,0.5
Group 1,Glucose_GB,0.5
Group 1,Glucose_AB,0.6666666666666666
Group 1,Glucose_GNB,0.5
Group 1,Glucose_MNB,0.3333333333333333
Group 2,BP_KNN,1.0
Group 2,BP_GB,0.8333333333333334
Group 2,BP_AB,1.0
Group 2,BP_RF,1.0
Group 2,BP_GNB,1.0
Group 2,BP_MNB,1.0
Group 2,Glucose_KNN,1.0
Group 2,Glucose_RF,1.0
Group 3,BP_KNN,0.8333333333333334
Group 3,BP_GB,0.75
Group 3,BP_AB,0.5
Group 3,BP_RF,0.75
Group 3,BP_GNB,0.75
Group 3,BP_MNB,0.3333333333333333
Group 3,Glucose_KNN,0.5
Group 3,Glucose_RF,0.5
Group 3,Glucose_GB,0.5
Group 3,Glucose_AB,0.5
Group 3,Glucose_GNB,0.5
Group 3,Glucose_MNB,0.3333333333333333
Group 4,BP_KNN,0.75
Group 4,BP_GB,0.5
Group 4,BP_AB,0.75
Group 4,BP_RF,0.5
Group 4,BP_GNB,0.75
Group 4,BP_MNB,1.0
Group 4,Glucose_KNN,1.0
Group 4,Glucose_RF,1.0
Group 5,BP_KNN,0.35714285714285715
Group 5,BP_GB,0.35714285714285715
Group 5,BP_AB,0.35714285714285715
Group 5,BP_RF,0.42857142857142855
Group 5,BP_GNB,0.42857142857142855
Group 5,BP_MNB,0.2857142857142857
Group 5,Glucose_KNN,0.8333333333333334
Group 5,Glucose_RF,0.8333333333333334
Group 5,Glucose_GB,0.8333333333333334
Group 5,Glucose_AB,0.6666666666666666
Group 5,Glucose_GNB,1.0
Group 5,Glucose_MNB,0.3333333333333333
Group 6,BP_KNN,1.0
Group 6,BP_GB,1.0
Group 6,BP_AB,1.0
Group 6,BP_RF,1.0
Group 6,BP_GNB,1.0
Group 6,BP_MNB,0.75
Group 6,Glucose_KNN,1.0
Group 6,Glucose_RF,1.0
Group 7,BP_KNN,0.6
Group 7,BP_GB,0.4
Group 7,BP_AB,0.5
Group 7,BP_RF,0.4
Group 7,BP_GNB,0.5
Group 7,BP_MNB,0.2
Group 7,Glucose_KNN,1.0
Group 7,Glucose_RF,1.0
Group 7,Glucose_GB,1.0
Group 7,Glucose_AB,1.0
Group 7,Glucose_GNB,1.0
Group 7,Glucose_MNB,0.5
Group 8,BP_KNN,1.0
Group 8,BP_GB,0.6666666666666666
Group 8,BP_AB,0.8333333333333334
Group 8,BP_RF,1.0
Group 8,BP_GNB,1.0
Group 8,BP_MNB,0.6666666666666666
Group 8,Glucose_KNN,1.0
Group 8,Glucose_RF,1.0
Group 9,BP_KNN,0.9
Group 9,BP_GB,0.8
Group 9,BP_AB,0.5
Group 9,BP_RF,0.9
Group 9,BP_GNB,0.9
Group 9,BP_MNB,0.0
Group 9,Glucose_KNN,1.0
Group 9,Glucose_RF,0.75
Group 9,Glucose_GB,0.75
Group 9,Glucose_AB,0.75
Group 9,Glucose_GNB,0.75
Group 9,Glucose_MNB,0.5
Group 10,BP_KNN,0.7
Group 10,BP_GB,0.8
Group 10,BP_AB,0.3
Group 10,BP_RF,0.8
Group 10,BP_GNB,0.7
Group 10,BP_MNB,0.1
Group 10,Glucose_KNN,1.0
Group 10,Glucose_RF,1.0
Group 10,Glucose_GB,1.0
Group 10,Glucose_AB,1.0
Group 10,Glucose_GNB,1.0
Group 10,Glucose_MNB,0.5
Group 11,BP_KNN,0.8
Group 11,BP_GB,0.7
Group 11,BP_AB,0.3
Group 11,BP_RF,0.7
Group 11,BP_GNB,0.7
Group 11,BP_MNB,0.2
Group 11,Glucose_KNN,0.5
Group 11,Glucose_RF,0.5
Group 11,Glucose_GB,0.5
Group 11,Glucose_AB,0.5
Group 11,Glucose_GNB,0.5
Group 11,Glucose_MNB,0.5
Group 12,BP_KNN,0.5833333333333334
Group 12,BP_GB,0.5833333333333334
Group 12,BP_AB,0.4166666666666667
Group 12,BP_RF,0.6666666666666666
Group 12,BP_GNB,0.5833333333333334
Group 12,BP_MNB,0.25
Group 12,Glucose_KNN,0.6
Group 12,Glucose_RF,0.4
Group 12,Glucose_GB,0.4
Group 12,Glucose_AB,0.3
Group 12,Glucose_GNB,0.6
Group 12,Glucose_MNB,0.0
Group 13,BP_KNN,0.42857142857142855
Group 13,BP_GB,0.35714285714285715
Group 13,BP_AB,0.21428571428571427
Group 13,BP_RF,0.35714285714285715
Group 13,BP_GNB,0.21428571428571427
Group 13,BP_MNB,0.14285714285714285
Group 13,Glucose_KNN,0.2857142857142857
Group 13,Glucose_RF,0.42857142857142855
Group 13,Glucose_GB,0.35714285714285715
Group 13,Glucose_AB,0.42857142857142855
Group 13,Glucose_GNB,0.21428571428571427
Group 13,Glucose_MNB,0.07142857142857142
Group 14,BP_KNN,0.6666666666666666
Group 14,BP_GB,0.8333333333333334
Group 14,BP_AB,0.8333333333333334
Group 14,BP_RF,0.6666666666666666
Group 14,BP_GNB,0.6666666666666666
Group 14,BP_MNB,0.6666666666666666
Group 14,Glucose_KNN,0.8333333333333334
Group 14,Glucose_RF,0.5
Group 14,Glucose_GB,0.5
Group 14,Glucose_AB,0.5
Group 14,Glucose_GNB,0.8333333333333334
Group 14,Glucose_MNB,0.3333333333333333
Group 15,BP_KNN,0.5833333333333334
Group 15,BP_GB,0.25
Group 15,BP_AB,0.25
Group 15,BP_RF,0.4166666666666667
Group 15,BP_GNB,0.3333333333333333
Group 15,BP_MNB,0.16666666666666666
Group 15,Glucose_KNN,0.3333333333333333
