Group,Model,Accuracy
Group 1,BP_KNN,0.7105263157894737
Group 1,BP_GB,0.6842105263157895
Group 1,BP_AB,0.6052631578947368
Group 1,BP_RF,0.6842105263157895
Group 1,BP_GNB,0.7105263157894737
Group 1,BP_MNB,0.5
Group 1,Glucose_KNN,0.6842105263157895
Group 1,Glucose_RF,0.631578947368421
Group 1,Glucose_GB,0.631578947368421
Group 1,Glucose_AB,0.6842105263157895
Group 1,Glucose_GNB,0.631578947368421
Group 1,Glucose_MNB,0.2631578947368421
Group 2,BP_KNN,0.8947368421052632
Group 2,BP_GB,0.7368421052631579
Group 2,BP_AB,0.7894736842105263
Group 2,BP_RF,0.7894736842105263
Group 2,BP_GNB,0.8421052631578947
Group 2,BP_MNB,0.6842105263157895
Group 2,Glucose_KNN,1.0
Group 2,Glucose_RF,1.0
Group 3,BP_KNN,0.5263157894736842
Group 3,BP_GB,0.5263157894736842
Group 3,BP_AB,0.42105263157894735
Group 3,BP_RF,0.5526315789473685
Group 3,BP_GNB,0.7631578947368421
Group 3,BP_MNB,0.39473684210526316
Group 3,Glucose_KNN,0.631578947368421
Group 3,Glucose_RF,0.631578947368421
Group 3,Glucose_GB,0.631578947368421
Group 3,Glucose_AB,0.5789473684210527
Group 3,Glucose_GNB,0.6842105263157895
Group 3,Glucose_MNB,0.2631578947368421
Group 4,BP_KNN,0.8461538461538461
Group 4,BP_GB,0.7692307692307693
Group 4,BP_AB,0.6923076923076923
Group 4,BP_RF,0.8461538461538461
Group 4,BP_GNB,0.7692307692307693
Group 4,BP_MNB,0.8461538461538461
Group 4,Glucose_KNN,1.0
Group 4,Glucose_RF,1.0
Group 5,BP_KNN,0.4318181818181818
Group 5,BP_GB,0.5454545454545454
Group 5,BP_AB,0.25
Group 5,BP_RF,0.4772727272727273
Group 5,BP_GNB,0.4772727272727273
Group 5,BP_MNB,0.22727272727272727
Group 5,Glucose_KNN,0.6842105263157895
Group 5,Glucose_RF,0.631578947368421
Group 5,Glucose_GB,0.631578947368421
Group 5,Glucose_AB,0.47368421052631576
Group 5,Glucose_GNB,0.6842105263157895
Group 5,Glucose_MNB,0.2631578947368421
Group 6,BP_KNN,1.0
Group 6,BP_GB,0.9230769230769231
Group 6,BP_AB,1.0
Group 6,BP_RF,1.0
Group 6,BP_GNB,1.0
Group 6,BP_MNB,0.6153846153846154
Group 6,Glucose_KNN,1.0
Group 6,Glucose_RF,1.0
Group 7,BP_KNN,0.5483870967741935
Group 7,BP_GB,0.5483870967741935
Group 7,BP_AB,0.6129032258064516
Group 7,BP_RF,0.5483870967741935
Group 7,BP_GNB,0.6129032258064516
Group 7,BP_MNB,0.25806451612903225
Group 7,Glucose_KNN,1.0
Group 7,Glucose_RF,1.0
Group 7,Glucose_GB,1.0
Group 7,Glucose_AB,1.0
Group 7,Glucose_GNB,1.0
Group 7,Glucose_MNB,0.46153846153846156
Group 8,BP_KNN,0.7894736842105263
Group 8,BP_GB,0.7368421052631579
Group 8,BP_AB,0.5263157894736842
Group 8,BP_RF,0.7894736842105263
Group 8,BP_GNB,0.7368421052631579
Group 8,BP_MNB,0.631578947368421
Group 8,Glucose_KNN,1.0
Group 8,Glucose_RF,1.0
Group 9,BP_KNN,0.6129032258064516
Group 9,BP_GB,0.5483870967741935
Group 9,BP_AB,0.41935483870967744
Group 9,BP_RF,0.6774193548387096
Group 9,BP_GNB,0.6774193548387096
Group 9,BP_MNB,0.2903225806451613
Group 9,Glucose_KNN,0.6153846153846154
Group 9,Glucose_RF,0.6923076923076923
Group 9,Glucose_GB,0.6923076923076923
Group 9,Glucose_AB,0.6923076923076923
Group 9,Glucose_GNB,0.7692307692307693
Group 9,Glucose_MNB,0.46153846153846156
Group 10,BP_KNN,0.4838709677419355
Group 10,BP_GB,0.45161290322580644
Group 10,BP_AB,0.5483870967741935
Group 10,BP_RF,0.3870967741935484
Group 10,BP_GNB,0.5483870967741935
Group 10,BP_MNB,0.3870967741935484
Group 10,Glucose_KNN,0.9230769230769231
Group 10,Glucose_RF,0.9230769230769231
Group 10,Glucose_GB,0.9230769230769231
Group 10,Glucose_AB,0.9230769230769231
Group 10,Glucose_GNB,0.9230769230769231
Group 10,Glucose_MNB,0.46153846153846156
Group 11,BP_KNN,0.5806451612903226
Group 11,BP_GB,0.4838709677419355
Group 11,BP_AB,0.2903225806451613
Group 11,BP_RF,0.5806451612903226
Group 11,BP_GNB,0.6774193548387096
Group 11,BP_MNB,0.25806451612903225
Group 11,Glucose_KNN,0.6153846153846154
Group 11,Glucose_RF,0.3076923076923077
Group 11,Glucose_GB,0.3076923076923077
Group 11,Glucose_AB,0.3076923076923077
Group 11,Glucose_GNB,0.6923076923076923
Group 11,Glucose_MNB,0.46153846153846156
Group 12,BP_KNN,0.4473684210526316
Group 12,BP_GB,0.4473684210526316
Group 12,BP_AB,0.3157894736842105
Group 12,BP_RF,0.3684210526315789
Group 12,BP_GNB,0.3157894736842105
Group 12,BP_MNB,0.23684210526315788
Group 12,Glucose_KNN,0.4838709677419355
Group 12,Glucose_RF,0.5483870967741935
Group 12,Glucose_GB,0.5483870967741935
Group 12,Glucose_AB,0.3225806451612903
Group 12,Glucose_GNB,0.5806451612903226
Group 12,Glucose_MNB,0.12903225806451613
Group 13,BP_KNN,0.45454545454545453
Group 13,BP_GB,0.5909090909090909
Group 13,BP_AB,0.3181818181818182
Group 13,BP_RF,0.5227272727272727
Group 13,BP_GNB,0.5454545454545454
Group 13,BP_MNB,0.2727272727272727
Group 13,Glucose_KNN,0.3409090909090909
Group 13,Glucose_RF,0.3409090909090909
Group 13,Glucose_GB,0.3409090909090909
Group 13,Glucose_AB,0.2727272727272727
Group 13,Glucose_GNB,0.36363636363636365
Group 13,Glucose_MNB,0.045454545454545456
Group 14,BP_KNN,0.8947368421052632
Group 14,BP_GB,0.9473684210526315
Group 14,BP_AB,0.5789473684210527
Group 14,BP_RF,0.8947368421052632
Group 14,BP_GNB,1.0
Group 14,BP_MNB,0.7368421052631579
Group 14,Glucose_KNN,0.8947368421052632
Group 14,Glucose_RF,0.8421052631578947
Group 14,Glucose_GB,0.8421052631578947
Group 14,Glucose_AB,0.7368421052631579
Group 14,Glucose_GNB,0.9473684210526315
Group 14,Glucose_MNB,0.2631578947368421
Group 15,BP_KNN,0.39473684210526316
Group 15,BP_GB,0.3157894736842105
Group 15,BP_AB,0.3157894736842105
Group 15,BP_RF,0.3157894736842105
Group 15,BP_GNB,0.4473684210526316
Group 15,BP_MNB,0.21052631578947367
Group 15,Glucose_KNN,0.42105263157894735
Group 15,Glucose_RF,0.3157894736842105
Group 15,Glucose_GB,0.3157894736842105
Group 15,Glucose_AB,0.34210526315789475
Group 15,Glucose_GNB,0.42105263157894735
Group 15,Glucose_MNB,0.07894736842105263
Group 16,BP_KNN,0.76
Group 16,BP_GB,0.8
Group 16,BP_AB,0.84
Group 16,BP_RF,0.76
Group 16,BP_GNB,0.68
Group 16,BP_MNB,0.32
Group 16,Glucose_KNN,0.72
Group 16,Glucose_RF,0.76
Group 16,Glucose_GB,0.76
Group 16,Glucose_AB,0.6
Group 16,Glucose_GNB,0.8
Group 16,Glucose_MNB,0.16
Group 17,BP_KNN,1.0
Group 17,BP_GB,1.0
Group 17,BP_AB,1.0
Group 17,BP_RF,0.9230769230769231
Group 17,BP_GNB,1.0
Group 17,BP_MNB,1.0
Group 17,Glucose_KNN,1.0
Group 17,Glucose_RF,1.0
Group 17,Glucose_GB,1.0
Group 17,Glucose_AB,1.0
Group 17,Glucose_GNB,1.0
Group 17,Glucose_MNB,0.46153846153846156
Group 18,BP_KNN,0.5454545454545454
Group 18,BP_GB,0.45454545454545453
Group 18,BP_AB,0.5
Group 18,BP_RF,0.5681818181818182
Group 18,BP_GNB,0.4318181818181818
Group 18,BP_MNB,0.22727272727272727
Group 18,Glucose_KNN,0.38636363636363635
Group 18,Glucose_RF,0.36363636363636365
Group 18,Glucose_GB,0.36363636363636365
Group 18,Glucose_AB,0.25
Group 18,Glucose_GNB,0.5227272727272727
Group 18,Glucose_MNB,0.045454545454545456
Group 19,BP_KNN,0.8461538461538461
Group 19,BP_GB,0.6153846153846154
Group 19,BP_AB,0.6923076923076923
Group 19,BP_RF,0.7692307692307693
Group 19,BP_GNB,0.8461538461538461
Group 19,BP_MNB,0.6923076923076923
Group 19,Glucose_KNN,0.38461538461538464
Group 19,Glucose_RF,0.3076923076923077
Group 19,Glucose_GB,0.3076923076923077
Group 19,Glucose_AB,0.3076923076923077
Group 19,Glucose_GNB,0.5384615384615384
Group 19,Glucose_MNB,0.46153846153846156
Group 20,BP_KNN,0.5806451612903226
Group 20,BP_GB,0.5483870967741935
Group 20,BP_AB,0.3870967741935484
Group 20,BP_RF,0.6774193548387096
Group 20,BP_GNB,0.6774193548387096
Group 20,BP_MNB,0.3870967741935484
Group 20,Glucose_KNN,0.5161290322580645
Group 20,Glucose_RF,0.4838709677419355
Group 20,Glucose_GB,0.4838709677419355
Group 20,Glucose_AB,0.41935483870967744
Group 20,Glucose_GNB,0.41935483870967744
Group 20,Glucose_MNB,0.12903225806451613
Group 21,BP_KNN,1.0
Group 21,BP_GB,1.0
Group 21,BP_AB,1.0
Group 21,BP_RF,0.9230769230769231
Group 21,BP_GNB,1.0
Group 21,BP_MNB,0.7692307692307693
Group 21,Glucose_KNN,1.0
Group 21,Glucose_RF,1.0
Group 21,Glucose_GB,1.0
Group 21,Glucose_AB,1.0
Group 21,Glucose_GNB,1.0
Group 21,Glucose_MNB,0.46153846153846156
Group 22,BP_KNN,0.5161290322580645
Group 22,BP_GB,0.4838709677419355
Group 22,BP_AB,0.5483870967741935
Group 22,BP_RF,0.6129032258064516
Group 22,BP_GNB,0.6129032258064516
Group 22,BP_MNB,0.3548387096774194
Group 22,Glucose_KNN,0.1935483870967742
Group 22,Glucose_RF,0.25806451612903225
Group 22,Glucose_GB,0.25806451612903225
Group 22,Glucose_AB,0.2903225806451613
Group 22,Glucose_GNB,0.2903225806451613
Group 22,Glucose_MNB,0.12903225806451613
Group 23,BP_KNN,1.0
Group 23,BP_GB,1.0
Group 23,BP_AB,1.0
Group 23,BP_RF,1.0
Group 23,BP_GNB,1.0
Group 23,BP_MNB,0.6923076923076923
Group 23,Glucose_KNN,0.46153846153846156
Group 23,Glucose_RF,0.46153846153846156
Group 23,Glucose_GB,0.46153846153846156
Group 23,Glucose_AB,0.46153846153846156
Group 23,Glucose_GNB,0.5384615384615384
Group 23,Glucose_MNB,0.46153846153846156
