Group,Model,Accuracy
Group 1,BP_KNN,0.7870370370370371
Group 1,BP_GB,0.7407407407407407
Group 1,BP_AB,0.3055555555555556
Group 1,BP_RF,0.7314814814814815
Group 1,BP_GNB,0.7870370370370371
Group 1,BP_MNB,0.4351851851851852
Group 1,BP_ENSEMBLE,0.7777777777777778
Group 1,Glucose_KNN,0.6851851851851852
Group 1,Glucose_RF,0.6111111111111112
Group 1,Glucose_GB,0.6111111111111112
Group 1,Glucose_AB,0.6666666666666666
Group 1,Glucose_GNB,0.7037037037037037
Group 1,Glucose_MNB,0.3148148148148148
Group 1,Glucose_ENSEMBLE,0.7407407407407407
Group 2,BP_KNN,0.7222222222222222
Group 2,BP_GB,0.7037037037037037
Group 2,BP_AB,0.7037037037037037
Group 2,BP_RF,0.8148148148148148
Group 2,BP_GNB,0.8333333333333334
Group 2,BP_MNB,0.6111111111111112
Group 2,BP_ENSEMBLE,0.8518518518518519
Group 2,Glucose_KNN,1.0
Group 2,Glucose_RF,1.0
Group 3,BP_KNN,0.6574074074074074
Group 3,BP_GB,0.6203703703703703
Group 3,BP_AB,0.25
Group 3,BP_RF,0.6388888888888888
Group 3,BP_GNB,0.6574074074074074
Group 3,BP_MNB,0.3055555555555556
Group 3,BP_ENSEMBLE,0.6481481481481481
Group 3,Glucose_KNN,0.6851851851851852
Group 3,Glucose_RF,0.6666666666666666
Group 3,Glucose_GB,0.6481481481481481
Group 3,Glucose_AB,0.6111111111111112
Group 3,Glucose_GNB,0.6111111111111112
Group 3,Glucose_MNB,0.3148148148148148
Group 3,Glucose_ENSEMBLE,0.6666666666666666
Group 4,BP_KNN,0.8055555555555556
Group 4,BP_GB,0.8611111111111112
Group 4,BP_AB,0.8611111111111112
Group 4,BP_RF,0.8333333333333334
Group 4,BP_GNB,0.6944444444444444
Group 4,BP_MNB,0.6944444444444444
Group 4,BP_ENSEMBLE,0.8333333333333334
Group 4,Glucose_KNN,1.0
Group 4,Glucose_RF,1.0
Group 5,BP_KNN,0.5158730158730159
Group 5,BP_GB,0.6031746031746031
Group 5,BP_AB,0.5
Group 5,BP_RF,0.5952380952380952
Group 5,BP_GNB,0.5396825396825397
Group 5,BP_MNB,0.3253968253968254
Group 5,BP_ENSEMBLE,0.5873015873015873
Group 5,Glucose_KNN,0.7222222222222222
Group 5,Glucose_RF,0.7407407407407407
Group 5,Glucose_GB,0.7407407407407407
Group 5,Glucose_AB,0.6851851851851852
Group 5,Glucose_GNB,0.7222222222222222
Group 5,Glucose_MNB,0.3148148148148148
Group 5,Glucose_ENSEMBLE,0.7407407407407407
Group 6,BP_KNN,1.0
Group 6,BP_GB,1.0
Group 6,BP_AB,1.0
Group 6,BP_RF,1.0
Group 6,BP_GNB,1.0
Group 6,BP_MNB,0.6944444444444444
Group 6,BP_ENSEMBLE,1.0
Group 6,Glucose_KNN,1.0
Group 6,Glucose_RF,1.0
Group 7,BP_KNN,0.6666666666666666
Group 7,BP_GB,0.6333333333333333
Group 7,BP_AB,0.5
Group 7,BP_RF,0.6
Group 7,BP_GNB,0.7111111111111111
Group 7,BP_MNB,0.4111111111111111
Group 7,BP_ENSEMBLE,0.6444444444444445
Group 7,Glucose_KNN,0.9722222222222222
Group 7,Glucose_RF,0.9722222222222222
Group 7,Glucose_GB,0.9722222222222222
Group 7,Glucose_AB,0.9722222222222222
Group 7,Glucose_GNB,1.0
Group 7,Glucose_MNB,0.5
Group 7,Glucose_ENSEMBLE,0.9722222222222222
Group 8,BP_KNN,0.8148148148148148
Group 8,BP_GB,0.7777777777777778
Group 8,BP_AB,0.5185185185185185
Group 8,BP_RF,0.7962962962962963
Group 8,BP_GNB,0.8888888888888888
Group 8,BP_MNB,0.8148148148148148
Group 8,BP_ENSEMBLE,0.8333333333333334
Group 8,Glucose_KNN,1.0
Group 8,Glucose_RF,1.0
Group 9,BP_KNN,0.6444444444444445
Group 9,BP_GB,0.6888888888888889
Group 9,BP_AB,0.4
Group 9,BP_RF,0.6555555555555556
Group 9,BP_GNB,0.7666666666666667
Group 9,BP_MNB,0.2
Group 9,BP_ENSEMBLE,0.6777777777777778
Group 9,Glucose_KNN,0.75
Group 9,Glucose_RF,0.7222222222222222
Group 9,Glucose_GB,0.7222222222222222
Group 9,Glucose_AB,0.75
Group 9,Glucose_GNB,0.7222222222222222
Group 9,Glucose_MNB,0.5
Group 9,Glucose_ENSEMBLE,0.6944444444444444
Group 10,BP_KNN,0.6111111111111112
Group 10,BP_GB,0.6444444444444445
Group 10,BP_AB,0.2
Group 10,BP_RF,0.6777777777777778
Group 10,BP_GNB,0.6666666666666666
Group 10,BP_MNB,0.2111111111111111
Group 10,BP_ENSEMBLE,0.6888888888888889
Group 10,Glucose_KNN,0.9166666666666666
Group 10,Glucose_RF,0.9444444444444444
Group 10,Glucose_GB,0.9444444444444444
Group 10,Glucose_AB,0.9444444444444444
Group 10,Glucose_GNB,0.9444444444444444
Group 10,Glucose_MNB,0.5
Group 10,Glucose_ENSEMBLE,0.9444444444444444
Group 11,BP_KNN,0.6333333333333333
Group 11,BP_GB,0.5666666666666667
Group 11,BP_AB,0.5444444444444444
Group 11,BP_RF,0.6222222222222222
